time,open,high,low,close,volume
2020-04-15 10:00,1.09341,1.09361,1.09030,1.09076,13675
2020-04-15 11:00,1.09077,1.09193,1.09040,1.09137,12940
2020-04-15 12:00,1.09138,1.09156,1.08564,1.08604,23963
2020-04-15 13:00,1.08605,1.08796,1.08592,1.08697,22011
2020-04-15 14:00,1.08698,1.09088,1.08675,1.09045,22719
2020-04-15 15:00,1.09046,1.09192,1.08998,1.09081,17451
2020-04-15 16:00,1.09080,1.09306,1.09025,1.09169,10033
2020-04-15 17:00,1.09167,1.09247,1.09115,1.09177,9274
2020-04-15 18:00,1.09177,1.09388,1.09162,1.09217,10494
2020-04-15 19:00,1.09218,1.09237,1.09103,1.09136,8682
2020-04-15 20:00,1.09136,1.09178,1.09066,1.09066,2223
2020-04-15 21:00,1.09076,1.09107,1.09061,1.09081,963
2020-04-15 22:00,1.09080,1.09111,1.09012,1.09017,2165
2020-04-15 23:00,1.09017,1.09060,1.08999,1.09037,3086
2020-04-16 00:00,1.09036,1.09072,1.08816,1.08857,10312
2020-04-16 01:00,1.08858,1.08921,1.08752,1.08754,9592
2020-04-16 02:00,1.08753,1.08867,1.08753,1.08838,6828
2020-04-16 03:00,1.08837,1.08839,1.08728,1.08736,6096
2020-04-16 04:00,1.08736,1.08792,1.08645,1.08792,6475
2020-04-16 05:00,1.08791,1.08881,1.08736,1.08844,7596
2020-04-16 06:00,1.08843,1.09048,1.08792,1.08846,13697
2020-04-16 07:00,1.08844,1.08933,1.08644,1.08729,16510
2020-04-16 08:00,1.08729,1.08888,1.08681,1.08877,12487
2020-04-16 09:00,1.08878,1.08889,1.08580,1.08689,15169
2020-04-16 10:00,1.08689,1.08862,1.08531,1.08795,14775
2020-04-16 11:00,1.08798,1.08856,1.08701,1.08819,12800
2020-04-16 12:00,1.08819,1.09009,1.08807,1.08894,21553
2020-04-16 13:00,1.08894,1.08948,1.08718,1.08788,17908
2020-04-16 14:00,1.08788,1.08886,1.08470,1.08509,25671
2020-04-16 15:00,1.08509,1.08533,1.08281,1.08407,19905
2020-04-16 16:00,1.08406,1.08497,1.08166,1.08335,17284
2020-04-16 17:00,1.08334,1.08493,1.08316,1.08409,10640
2020-04-16 18:00,1.08410,1.08512,1.08402,1.08449,9451
2020-04-16 19:00,1.08449,1.08497,1.08401,1.08460,8637
2020-04-16 20:00,1.08459,1.08465,1.08301,1.08386,2500
2020-04-16 21:00,1.08386,1.08646,1.08329,1.08605,4432
2020-04-16 22:00,1.08605,1.08614,1.08515,1.08606,4160
2020-04-16 23:00,1.08606,1.08674,1.08567,1.08584,7005
2020-04-17 00:00,1.08588,1.08669,1.08538,1.08627,8092
2020-04-17 01:00,1.08626,1.08785,1.08617,1.08729,9432
2020-04-17 02:00,1.08728,1.08764,1.08643,1.08727,5495
2020-04-17 03:00,1.08729,1.08740,1.08663,1.08665,4355
